Turing Tape,112,"daizhenyang,Turing Tape,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Logo Turtle,113,"daizhenyang,Logo Turtle,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dp
"
Piet,114,"daizhenyang,Piet,1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Constants in the language of Shakespeare,115,"hos.lyric,Constants in the language of Shakespeare,0,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,dp,greedy""
"
Bits of merry old England,116,"hos.lyric,Bits of merry old England,0,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,flows
"
HQ9+,117,"max777alex,HQ9+,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Unary,118,"max777alex,Unary,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Average Numbers,119,"nab,Average Numbers,1,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""brute force,implementation""
"
Pairs of Numbers,120,"nab,Pairs of Numbers,1,B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,""brute force,dfs and similar,math,number theory""
"
Swaps,121,"madokamylove,Swaps,0,C,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,graphs,greedy""
"
Replacement,122,"cmd,Replacement,0,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""implementation,sortings""
"
Rectangle and Square,123,"cmd,Rectangle and Square,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""brute force,geometry,math""
"
Zero-One,124,"cmd,Zero-One,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,games,greedy""
"
Weak Subsequence,125,"Baz93,Weak Subsequence,1,E,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,combinatorics
"
Presents,126,"vkg,Presents,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Ternary Logic,127,"vkg,Ternary Logic,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""implementation,math""
"
Postcards and photos,128,"Konstantin,Postcards and photos,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Permutation,129,"Konstantin,Permutation,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
History,130,"Konstantin,History,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sortings
"
Last Chance,131,"Pattara.S,Last Chance,0,E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""data structures,implementation""
"
Palindromes,132,"Pattara.S,Palindromes,1,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dp
"
Digits Permutations,133,"wata,Digits Permutations,0,B,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,greedy
"
Mushroom Gnomes - 2,134,"wata,Mushroom Gnomes - 2,0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""binary search,data structures,probabilities,sortings""
"
World of Darkraft,135,"wata,World of Darkraft,0,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""dp,games""
"
Literature Lesson,136,"wata,Literature Lesson,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Hellish Constraints,137,"ivan.popelyshev,Hellish Constraints,1,E,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,""brute force,dp,two pointers""
"
Petr and Book,138,"Luzan,Petr and Book,0,A,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,implementation
"
Wallpaper,139,"Luzan,Wallpaper,0,B,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,""implementation,math""
"
New Year Table,140,"stevenkplus,New Year Table,0,A,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,""geometry,math""
"
New Year Cards,141,"stevenkplus,New Year Cards,0,B,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,""brute force,greedy,implementation""
"
New Year Snowmen,142,"stevenkplus,New Year Snowmen,0,C,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,""binary search,data structures,greedy""
"
